State,District,Year,Quarter,Registered_Users,App_Open_Count
Andhra Pradesh,Visakhapatnam,2023,3,4035323,116087299
Andhra Pradesh,Prakasam,2023,3,1868997,94303883
Andhra Pradesh,Anantapur,2023,3,2421293,152875757
Andhra Pradesh,Kurnool,2023,3,2295754,124493256
Andhra Pradesh,Guntur,2023,3,3137289,71855007
Andhra Pradesh,Krishna,2023,3,3177643,73280755
Andhra Pradesh,Spsr Nellore,2023,3,1887005,73583227
Andhra Pradesh,Vizianagaram,2023,3,1190571,41978556
Andhra Pradesh,Ysr,2023,3,1764648,78787151
Andhra Pradesh,West Godavari,2023,3,2146530,73274852
Andhra Pradesh,Chittoor,2023,3,2981337,129032458
Andhra Pradesh,East Godavari,2023,4,3329036,143550882
Andhra Pradesh,Srikakulam,2023,4,1430226,48122562
Andhra Pradesh,Visakhapatnam,2023,4,4180797,163404880
Andhra Pradesh,Prakasam,2023,4,1939979,69411660
Andhra Pradesh,Anantapur,2023,4,2512744,123617506
Andhra Pradesh,Kurnool,2023,4,2383042,86461750
Andhra Pradesh,Guntur,2023,4,3251121,132403935
Andhra Pradesh,Krishna,2023,4,3291814,121925706
Andhra Pradesh,Spsr Nellore,2023,4,1956706,78993397
Andhra Pradesh,Vizianagaram,2023,4,1236735,42889385
Andhra Pradesh,Ysr,2023,4,1829864,69721701
Andhra Pradesh,West Godavari,2023,4,2227243,86297777
Andhra Pradesh,Chittoor,2023,4,3089391,143201818
Arunachal Pradesh,Lower Subansiri,2018,1,498,0
Arunachal Pradesh,Tirap,2018,1,557,0
Arunachal Pradesh,Papum Pare,2018,1,7649,0
Arunachal Pradesh,Anjaw,2018,1,278,0
Arunachal Pradesh,Lower Siang,2018,1,270,0
Arunachal Pradesh,Dibang Valley,2018,1,66,0
Arunachal Pradesh,West Kameng,2018,1,2202,0
Arunachal Pradesh,Shi Yomi,2018,1,49,0
Arunachal Pradesh,East Kameng,2018,1,222,0
Arunachal Pradesh,Lohit,2018,1,1207,0
Arunachal Pradesh,Lepa Rada,2018,1,210,0
Arunachal Pradesh,Lower Dibang Valley,2018,1,601,0
Arunachal Pradesh,Longding,2018,1,256,0
